#separator:tab
#html:true
#notetype:Basic
#deck:CS::OSTEP::ch28-locks
#guid column:1
#tags column:5
#columns:GUID	Front	Back	Source	Tags
cs-ostep-ch28-locks-001	What is a mutex lock?	A synchronization primitive that grants exclusive access to a critical section — at most one thread may hold it at any time.<br>While held, all other threads attempting to acquire it are blocked or spin.	OSTEP ch28 §locks	recall::definition diff::1 cs::concurrency topic::mutex
cs-ostep-ch28-locks-002	What does "mutex" stand for, and what guarantee does it provide?	Mutex = mutual exclusion.<br>It guarantees that at most one thread executes a protected critical section concurrently, preventing data races.	OSTEP ch28 §locks	recall::definition diff::1 cs::concurrency topic::mutex
cs-ostep-ch28-locks-003	How does the test-and-set (TAS) hardware instruction work?	TAS atomically reads a memory word, writes 1 to it, and returns the original value — all as a single indivisible operation.<br>Atomicity prevents two threads from both reading 0 and both believing they acquired the lock.	OSTEP ch28 §locks	recall::mechanism diff::2 cs::concurrency topic::hardware-atomics
cs-ostep-ch28-locks-004	How does a spin lock use test-and-set to implement acquire()?	acquire() loops calling TAS on the lock word.<br>If TAS returns 0 → lock was free; caller now holds it (TAS wrote 1).<br>If TAS returns 1 → lock was already held; caller spins and retries.	OSTEP ch28 §locks	recall::mechanism diff::2 cs::concurrency topic::spin-lock
cs-ostep-ch28-locks-005	Why are spin locks a poor fit for long critical sections on a uniprocessor?	A spinning thread consumes its entire scheduling quantum doing no useful work.<br>On a uniprocessor this also prevents the lock-holder from running, potentially causing deadlock if preemption is disabled.	OSTEP ch28 §locks	recall::why diff::3 cs::concurrency topic::spin-lock
cs-ostep-ch28-locks-006	Why do OS-based sleep locks incur higher per-operation latency than spin locks?	Blocking requires a syscall: the kernel deschedules the thread, places it in a wait queue, and later reschedules it.<br>This context switch overhead is typically hundreds to thousands of nanoseconds — far more than a single TAS instruction.	OSTEP ch28 §locks	recall::why diff::3 cs::concurrency topic::sleep-lock
cs-ostep-ch28-locks-007	What is the key distinction between a spin lock and an OS sleep lock?	Spin lock: busy-waits (polls in a loop), very low overhead, wastes CPU while waiting.<br>Sleep lock: blocks via syscall, higher per-operation cost, but yields the CPU.<br>Choice: prefer spin when expected wait time &lt; context-switch cost.	OSTEP ch28 §locks	recall::distinction diff::4 cs::concurrency topic::spin-lock topic::sleep-lock
cs-ostep-ch28-locks-008	When should you prefer a spin lock over a sleep lock, and why?	When the expected wait time (≈ critical section duration) is shorter than the cost of one context switch.<br>If waiting is brief, the context-switch overhead of a sleep lock exceeds the total cost of spinning.	OSTEP ch28 §locks	recall::distinction diff::4 cs::concurrency topic::spin-lock
cs-ostep-ch28-locks-009	Why does a spin lock deadlock on a uniprocessor without OS preemption?	The spinning thread monopolizes the only CPU, so the thread holding the lock is never scheduled and never releases it.<br>The spinner waits forever: a true deadlock, not livelock.	OSTEP ch28 §locks	recall::edge-case diff::3 cs::concurrency topic::spin-lock topic::deadlock
cs-ostep-ch28-locks-010	What is the mutex lock invariant?	At most one thread holds the lock at any instant while the lock is in the acquired state.<br>Equivalently: the lock word equals 1 if and only if exactly one thread has successfully acquired it.	OSTEP ch28 §locks	recall::invariant diff::2 cs::concurrency topic::mutex
